股票代码,股票名称,1个月收益率,3个月收益率,6个月收益率,12个月收益率,1个月收益率百分位值,3个月收益率百分位值,6个月收益率百分位值,12个月收益率百分位值,动量分数
300502,新易盛,87.12897294457578,303.5346097201767,421.6754540128881,447.1582181259601,99.33110367892976,100.0,100.0,99.66442953020133,99.74888330228278
300394,天孚通信,95.23060281246927,242.29310344827587,215.9293443666454,278.72949256009156,99.66555183946488,99.33110367892976,99.33110367892976,98.99328859060402,99.33026194698212
688256,寒武纪,117.97721629910907,147.2401683066627,102.93837702599804,521.1203129551792,100.0,98.66220735785953,98.32775919732441,100.0,99.24749163879599
300308,中际旭创,68.52801519468188,281.42933906501884,253.61163694330978,234.38854343320145,98.66220735785953,99.66555183946488,99.66555183946488,98.3221476510067,99.07886467194899
601138,工业富联,64.9203431372549,194.313832695462,161.9464720194647,189.7201291711518,98.32775919732441,98.99665551839465,98.99665551839465,97.6510067114094,98.49301923638077
600111,北方稀土,43.49583228087901,144.4492254733219,154.29722470904207,241.40625,97.32441471571906,98.32775919732441,98.66220735785953,98.65771812080537,98.2430248479271
002916,深南电路,40.445453255780976,134.98694516971278,98.93499447402793,162.98313189002522,95.9866220735786,97.9933110367893,97.32441471571906,95.9731543624161,96.81937554712576
000617,中油资本,41.04560622914348,88.41010401188704,102.55591054313098,154.6184738955823,96.65551839464884,96.32107023411372,97.9933110367893,95.30201342281879,96.56797827209266
600183,生益科技,28.77871825876661,103.2442748091603,89.03088391906282,217.15306730196548,93.31103678929766,96.98996655518395,96.65551839464884,97.98657718120806,96.23577473008463
002600,领益智造,73.05122494432071,92.80397022332505,60.206185567010316,104.47368421052632,98.99665551839465,96.65551839464884,94.64882943143813,90.60402684563759,95.2262575475298
002463,沪电股份,26.26651982378856,122.04648160103292,98.98756146948222,127.02970297029705,91.9732441471572,97.65886287625418,97.65886287625418,91.94630872483222,94.80931965612444
688008,澜起科技,40.92420593968584,61.032494758909884,58.90871476596846,141.16954474097332,96.32107023411372,93.9799331103679,94.31438127090301,93.28859060402685,94.47599380485288
600160,巨化股份,44.36567164179104,47.615413964135826,60.207039337474114,144.56384323640958,97.65886287625418,90.96989966555184,94.98327759197325,93.95973154362416,94.39294291935086
300033,同花顺,41.11418519657069,66.98597469786993,38.56318755030854,340.8237302603499,96.98996655518395,94.64882943143813,85.95317725752508,99.32885906040269,94.23020807613747
603993,洛阳钼业,32.33404710920771,77.84172661870502,93.42723004694835,72.3849372384937,94.31438127090301,95.9866220735786,96.98996655518395,81.87919463087249,92.29254113263451
002074,国轩高科,23.251098344035135,49.52849528495285,57.2660629581716,99.28961748633878,89.63210702341136,91.63879598662207,93.9799331103679,89.93288590604027,91.2959305066104
002241,歌尔股份,57.326478149100254,76.878612716763,29.93630573248407,89.57150232318017,97.9933110367893,95.65217391304348,83.27759197324414,86.91275167785236,90.95895715023232
302132,中航成飞,19.955288857512656,33.96846254927728,68.34544253632761,150.61455260570304,85.61872909698997,82.94314381270902,95.31772575250837,94.63087248322147,89.6276177863572
000408,藏格矿业,11.962616822429894,48.67622724765581,68.73239436619718,129.11177220569482,77.92642140468227,91.30434782608695,95.65217391304348,92.61744966442953,89.37509820206057
603019,中科曙光,28.14943527367506,42.97253634894993,23.82817965579964,150.6372132540357,92.64214046822742,89.29765886287625,79.59866220735786,94.96644295302013,89.12622612287042
688041,海光信息,38.497686009255986,42.892823036803065,21.704310830257146,159.94921822798344,95.65217391304348,88.96321070234113,75.91973244147158,95.63758389261746,89.0431752373684
688082,盛美上海,23.378174003024753,53.983707530300016,46.0197833254828,75.39889102636641,90.3010033444816,92.97658862876254,90.3010033444816,82.5503355704698,89.03223272204889
300059,东方财富,21.419571608567843,40.203685741998065,24.77341389728096,179.864472410455,87.62541806020067,87.95986622073578,80.93645484949833,96.97986577181209,88.37540122556172
002938,鹏鼎控股,10.536044362292053,119.28859552621928,53.17622950819671,84.0566328100954,75.25083612040135,97.32441471571906,92.97658862876254,85.57046979865773,87.78057731588517
688303,大全能源,14.964285714285698,67.2207792207792,50.56127221702524,75.90163934426228,80.60200668896321,94.98327759197325,92.3076923076923,82.88590604026845,87.69472065722431
603986,兆易创新,28.220017743366398,41.99714183637013,20.90653281618373,128.2227964398507,92.97658862876254,88.62876254180601,74.24749163879598,92.28187919463086,87.03368050099884
300433,蓝思科技,36.56716417910446,56.56768998490185,17.79628928436199,89.34875228241022,95.31772575250837,93.31103678929766,69.56521739130434,86.57718120805369,86.19279028529101
000776,广发证券,10.728744939271252,37.69666456891125,46.4524765729585,98.36808703535812,76.58862876254182,85.95317725752508,90.63545150501672,89.59731543624162,85.69364324033131
000630,铜陵有色,23.901098901098884,46.90553745928339,45.016077170418,52.36486486486487,90.96989966555184,90.63545150501672,89.96655518394648,71.14093959731544,85.67821148795761
688981,中芯国际,27.003098716246132,39.79778292118408,17.353512629103186,142.82691493863732,92.3076923076923,87.62541806020067,68.89632107023411,93.6241610738255,85.61339812798815
000063,中兴通讯,31.329479768786108,46.15632036024444,19.453207150368023,91.72995780590716,93.9799331103679,90.3010033444816,70.5685618729097,87.58389261744966,85.60834773630222
600460,士兰微,25.1252408477842,35.4045037531276,27.483313702394984,76.27578718783927,91.63879598662207,83.94648829431438,82.6086956521739,83.55704697986577,85.43775672824403
600176,中国巨石,23.01024428684004,38.01945181255526,40.12567324955116,65.18518518518519,89.29765886287625,86.95652173913044,87.62541806020067,77.51677852348993,85.34909429642431
