year,month,date,stock_code,stock_name,momentum_score,monthly_return
2025,1,2025-01-02,300442,润泽科技,99.41471571906354,18.57683874825593
2025,1,2025-01-02,688256,寒武纪,99.41471571906354,-11.402992472352159
2025,1,2025-01-02,688041,海光信息,97.82608695652175,-7.976387589086453
2025,1,2025-01-02,605499,东鹏饮料,96.90635451505017,-1.7695099818511806
2025,1,2025-01-02,688981,中芯国际,94.23076923076923,4.424188528234785
2025,1,2025-01-02,000063,中兴通讯,93.81270903010034,5.494505494505497
2025,1,2025-01-02,601229,上海银行,91.5551839464883,3.534777651083254
2025,1,2025-01-02,600919,江苏银行,91.47157190635453,5.65217391304349
2025,1,2025-01-02,000977,浪潮信息,88.29431438127091,6.799917576756642
2025,1,2025-01-02,603296,华勤技术,88.21070234113714,6.066282420749269
2025,1,2025-01-02,601398,工商银行,87.79264214046823,2.6194144838212585
2025,1,2025-01-02,600104,上汽集团,87.79264214046823,-9.873284054910247
2025,1,2025-01-02,601825,沪农商行,87.70903010033446,0.6165228113440335
2025,1,2025-01-02,302132,中航成飞,86.87290969899665,-1.8618618618618576
2025,1,2025-01-02,600660,福耀玻璃,86.78929765886288,-1.4663256606990638
2025,1,2025-01-02,002916,深南电路,86.62207357859532,7.5314260944950195
2025,1,2025-01-02,300979,华利集团,86.53846153846153,-4.1473433152245835
2025,1,2025-01-02,601127,赛力斯,85.53511705685618,3.3315042721643096
2025,1,2025-01-02,300750,宁德时代,84.94983277591975,-0.22220458693754663
2025,1,2025-01-02,600415,小商品城,84.69899665551839,-3.3898305084745894
2025,1,2025-01-02,600000,浦发银行,84.53177257525084,5.349794238683114
2025,1,2025-01-02,601838,成都银行,84.36454849498327,2.515723270440251
2025,1,2025-01-02,601988,中国银行,84.19732441471572,3.898635477582846
2025,1,2025-01-02,600377,宁沪高速,84.11371237458194,-2.9391660970608413
2025,1,2025-01-02,000651,格力电器,84.03010033444816,-3.3448673587081923
2025,1,2025-01-02,601077,渝农商行,84.03010033444815,5.328596802841923
2025,1,2025-01-02,601336,新华保险,83.11036789297658,0.7283160450231696
2025,1,2025-01-02,601939,建设银行,83.11036789297658,1.7094017094017255
2025,1,2025-01-02,601288,农业银行,82.6923076923077,1.4112903225806495
2025,1,2025-01-02,600183,生益科技,82.2742474916388,27.76563183209444
2025,2,2025-02-05,300442,润泽科技,99.58305462653288,0.0
2025,2,2025-02-05,601689,拓普集团,98.41164994425866,-7.089884307327199
2025,2,2025-02-05,603986,兆易创新,97.99414715719064,-2.607214280423664
2025,2,2025-02-05,300433,蓝思科技,96.23940914158305,4.428627916172401
2025,2,2025-02-05,000063,中兴通讯,96.15635451505017,-9.298998569384832
2025,2,2025-02-05,688111,金山办公,95.81995540691193,-6.731314659247445
2025,2,2025-02-05,000977,浪潮信息,95.48829431438128,6.294964028776984
2025,2,2025-02-05,601360,三六零,95.48634336677816,-9.165978530140373
2025,2,2025-02-05,002050,三花智控,95.06688963210702,-6.93283813060972
2025,2,2025-02-05,603296,华勤技术,94.99080267558529,13.307392996108947
2025,2,2025-02-05,600183,生益科技,94.31856187290971,7.3551829268292845
2025,2,2025-02-05,002241,歌尔股份,92.39771460423634,2.28013029315961
2025,2,2025-02-05,688981,中芯国际,91.30908584169454,-3.531616849166419
2025,2,2025-02-05,300628,亿联网络,89.13628762541805,-5.925925925925924
2025,2,2025-02-05,002600,领益智造,88.79988851727983,9.480812641083514
2025,2,2025-02-05,002230,科大讯飞,88.71516164994426,-4.840787778391309
2025,2,2025-02-05,300418,昆仑万维,87.62848383500558,-14.939094461043434
2025,2,2025-02-05,600415,小商品城,87.23021181716834,-0.3996802557953538
2025,2,2025-02-05,600066,宇通客车,86.98578595317727,-5.971810089020768
2025,2,2025-02-05,603019,中科曙光,86.96516164994426,-0.5011833495753848
2025,2,2025-02-05,601229,上海银行,86.22240802675586,2.3516237402015694
2025,2,2025-02-05,000807,云铝股份,86.2123745819398,-1.970443349753681
2025,2,2025-02-05,600160,巨化股份,86.05685618729096,-5.033425088478182
2025,2,2025-02-05,301236,软通动力,85.70735785953177,6.683333333333352
2025,2,2025-02-05,002938,鹏鼎控股,85.3731884057971,0.6185567010309256
